Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Mexico,2022-05-26 10:20:29,23.6345,-102.5528,5759773,324768,,,4507.136682725904,,,5.638555547241185,484,MEX,23194,547
Micronesia,2022-05-26 10:20:29,7.4256,150.5508,30,0,,,26.35856433686245,,,0.0,583,FSM,25,0
Moldova,2022-05-26 10:20:29,47.4116,28.3699,518793,11537,,,12880.658640560718,,,2.22381566443649,498,MDA,1807,48
Monaco,2022-05-26 10:20:29,43.7333,7.4167,12124,57,,,30893.89460809296,,,0.4701418673705048,492,MCO,412,0
Mongolia,2022-05-26 10:20:29,46.8625,103.8467,924035,2179,,,28186.47637245249,,,0.2358135784899922,496,MNG,3482,2
Montenegro,2022-05-26 10:20:29,42.708678,19.37439,236862,2719,,,37713.15570755753,,,1.14792579645532,499,MNE,1905,5
Morocco,2022-05-26 10:20:29,31.7917,-7.0926,1167086,16076,,,3161.9299822018406,,,1.3774477630611626,504,MAR,2261,8
Mozambique,2022-05-26 10:20:29,-18.665695,35.529562,225626,2203,,,721.8776510389313,,,0.976394564456224,508,MOZ,251,2
Namibia,2022-05-26 10:20:29,-22.9576,18.4904,165346,4035,,,6507.33829847189,,,2.440337232228176,516,NAM,6866,10
Nepal,2022-05-26 10:20:29,28.1667,84.25,979091,11952,,,3360.3234781243023,,,1.220724120638429,524,NPL,313,1
Netherlands,2022-05-26 10:20:29,52.3167,5.55,8264638,22946,,,48232.85238239,,,0.2776407145721325,528,NLD,41578,86
New Zealand,2022-05-26 10:20:29,-40.9006,174.886,1135362,1058,,,23544.320649790254,,,0.0931861379894694,554,NZL,214908,374
Nicaragua,2022-05-26 10:20:29,12.865416,-85.207229,18491,238,,,279.1282250850397,,,1.287112649397004,558,NIC,0,4
Niger,2022-05-26 10:20:29,17.607789,8.081666,9031,310,,,37.30795142290734,,,3.432620972206843,562,NER,107,1
Nigeria,2022-05-26 10:20:29,9.082,8.6753,255972,3143,,,124.17411120552988,,,1.2278686731361244,566,NGA,287,0
North Macedonia,2022-05-26 10:20:29,41.6086,21.7453,311484,9300,,,14950.897099904962,,,2.9857071310243866,807,MKD,2174,22
Norway,2022-05-26 10:20:29,60.472,8.4689,1432335,3141,,,26420.79066014762,,,0.2192922745028223,578,NOR,7256,209
Oman,2022-05-26 10:20:29,21.512583,55.923255,389473,4260,,,7626.822584479525,,,1.093785705299212,512,OMN,360,2
Pakistan,2022-05-26 10:20:29,30.3753,69.3451,1530066,30379,,,692.6750209358785,,,1.9854699078340408,586,PAK,2110,10
Palau,2022-05-26 10:20:29,7.515,134.5825,5020,6,,,27876.499333629497,,,0.1195219123505976,585,PLW,534,0
Panama,2022-05-26 10:20:29,8.538,-80.7821,839746,8236,,,19462.135623514405,,,0.9807727574766656,591,PAN,66071,53
Papua New Guinea,2022-05-26 10:20:29,-6.314993,143.95555,44425,651,,,496.533653022395,,,1.4653911086100169,598,PNG,622,2
Paraguay,2022-05-26 10:20:29,-23.4425,-58.4438,650283,18885,,,9117.143566167966,,,2.904120206125641,600,PRY,1249,90
Peru,2022-05-26 10:20:29,-9.19,-75.0152,3577241,213134,,,10849.380407757577,,,5.958055384023609,604,PER,14090,356
Philippines,2022-05-26 10:20:29,12.879721,121.774017,3689457,60455,,,3366.873945444143,,,1.6385880090213818,608,PHL,4428,240
Poland,2022-05-26 10:20:29,51.9194,19.1451,6006547,116299,,,15870.768329153962,,,1.9362039454615103,616,POL,12437,292
Portugal,2022-05-26 10:20:29,39.3999,-8.2245,4544317,22926,,,44566.51544464306,,,0.5044982557334798,620,PRT,559551,700
Qatar,2022-05-26 10:20:29,25.3548,51.1839,367617,677,,,12759.782857698208,,,0.1841590568444876,634,QAT,3196,0
Romania,2022-05-26 10:20:29,45.9432,24.9668,2907210,65664,,,15112.059758550951,,,2.258660365092305,642,ROU,16383,208
Russia,2022-05-26 10:20:29,61.524,105.3188,18043539,371061,,,12364.138668824347,,,2.056475727960019,643,RUS,144133,3122
Rwanda,2022-05-26 10:20:29,-1.9403,29.8739,130013,1459,,,1003.790164287806,,,1.1221954727604162,646,RWA,222,0
Saint Kitts and Nevis,2022-05-26 10:20:29,17.357822,-62.782998,5697,43,,,10710.257181531057,,,0.7547832192381956,659,KNA,135,0
Saint Lucia,2022-05-26 10:20:29,13.9094,-60.9789,25315,370,,,13785.94884250309,,,1.4615840410823622,662,LCA,2030,2
Saint Vincent and the Grenadines,2022-05-26 10:20:29,12.9843,-61.2872,8641,106,,,7788.403471928038,,,1.2267098715426454,670,VCT,235,0
Samoa,2022-05-26 10:20:29,-13.759,-172.1046,12843,25,,,6548.207821342987,,,0.1946585688702016,882,WSM,4492,9
San Marino,2022-05-26 10:20:29,43.9424,12.4578,17059,115,,,50265.18946313867,,,0.6741309572659593,674,SMR,873,1
Sao Tome and Principe,2022-05-26 10:20:29,0.1864,6.6131,5982,73,,,2729.500230424209,,,1.220327649615513,678,STP,25,0
Saudi Arabia,2022-05-26 10:20:29,23.885942,45.079162,765305,9138,,,2198.276336265661,,,1.1940337512495018,682,SAU,11059,51
Senegal,2022-05-26 10:20:29,14.4974,-14.4524,86093,1966,,,514.1743903611638,,,2.2835770620143334,686,SEN,100,
Serbia,2022-05-26 10:20:29,44.0165,21.0059,2016002,16074,,,23073.327557377102,,,0.7973206375787326,688,SRB,11747,98
Seychelles,2022-05-26 10:20:29,-4.6796,55.492,43776,167,,,44514.94813910921,,,0.3814875730994152,690,SYC,1302,1
Sierra Leone,2022-05-26 10:20:29,8.460555,-11.779889,7682,125,,,96.30204895709343,,,1.6271804217651653,694,SLE,1,0
Singapore,2022-05-26 10:20:29,1.2833,103.8333,1282280,1380,,,21918.031130824296,,,0.1076208004491998,702,SGP,94366,46
Slovakia,2022-05-26 10:20:29,48.669,19.699,2541509,20088,,,46764.37316273613,,,0.7903965714856803,703,SVK,14654,215
Slovenia,2022-05-26 10:20:29,46.1512,14.9955,1023918,6634,,,49252.1159903258,,,0.6479034453930881,705,SVN,16050,45
Solomon Islands,2022-05-26 10:20:29,-9.6457,160.1562,18174,146,,,2783.760021321635,,,0.8033454385385715,90,SLB,3388,5
Somalia,2022-05-26 10:20:29,5.152149,46.199616,26535,1361,,,166.95799636310304,,,5.129074806858866,706,SOM,50,0
South Africa,2022-05-26 10:20:29,-30.5595,22.9375,3941045,101043,,,6644.970576824408,,,2.5638631378225827,710,ZAF,164747,692
South Sudan,2022-05-26 10:20:29,6.877,31.307,17575,138,,,157.0075530683296,,,0.7852062588904695,728,SSD,125,0
Spain,2022-05-26 10:20:29,40.463667,-3.74922,12280345,106105,,,26265.430426658168,,,0.8640229570097583,724,ESP,404616,1720
Sri Lanka,2022-05-26 10:20:29,7.873054,80.771797,663786,16513,,,3099.884417358411,,,2.487699348886539,144,LKA,547,10
Sudan,2022-05-26 10:20:29,12.8628,30.2176,62251,4941,,,141.9658786101999,,,7.937221892017799,729,SDN,134,10
Summer Olympics 2020,2022-05-26 10:20:29,35.6491,139.7737,865,0,,,,,,0.0,2020,,0,0
Suriname,2022-05-26 10:20:29,3.9193,-56.0278,80416,1341,,,13708.03601564178,,,1.667578591325109,740,SUR,1080,13
Sweden,2022-05-26 10:20:29,60.1282,18.6435,2507948,18977,,,24832.96317456608,,,0.7566743808085336,752,SWE,9560,288
Switzerland,2022-05-26 10:20:29,46.8182,8.2275,3668054,13794,,,42382.62162466328,,,0.3760577134360617,756,CHE,48456,93
Syria,2022-05-26 10:20:29,34.802075,38.996815,55883,3150,,,319.31944040729445,,,5.636776837320831,760,SYR,76,0
Taiwan*,2022-05-26 10:20:29,23.7,121.0,1640271,1658,,,6887.040751739058,,,0.1010808579801752,158,TWN,1481442,696
Tajikistan,2022-05-26 10:20:29,38.861,71.2761,17786,125,,,186.4821514584003,,,0.7027999550208028,762,TJK,0,0
Tanzania,2022-05-26 10:20:29,-6.369028,34.888822,35354,840,,,59.185512329425016,,,2.3759687729818406,834,TZA,1482,37
Thailand,2022-05-26 10:20:29,15.870032,100.992541,4429674,29881,,,6346.239822597079,,,0.6745643133106409,764,THA,205666,1610
Timor-Leste,2022-05-26 10:20:29,-8.874217,125.727539,22897,131,,,1736.6710101771637,,,0.5721273529283312,626,TLS,35,1
Togo,2022-05-26 10:20:29,8.6195,0.8248,37065,273,,,447.713220023779,,,0.7365439093484419,768,TGO,84,0
Tonga,2022-05-26 10:20:29,-21.179,-175.1982,11500,11,,,10880.157431147523,,,0.0956521739130434,776,TON,1662,0
Trinidad and Tobago,2022-05-26 10:20:29,10.6918,-61.2225,159719,3899,,,11412.64931321459,,,2.44116229127405,780,TTO,13579,80
Tunisia,2022-05-26 10:20:29,33.886917,9.537499,1042935,28636,,,8824.508923124515,,,2.7457128200702825,788,TUN,2742,86
Turkey,2022-05-26 10:20:29,38.9637,35.2433,15066784,98943,,,17864.53720195885,,,0.6566962133392236,792,TUR,40643,207
